objID,ra,dec,l,b,psfMag_u,psfMag_r,psfMag_i,psfMag_g,psfMag_z,psfMagErr_u,psfMagErr_r,psfMagErr_i,psfMagErr_g,psfMagErr_z,extinction_u,extinction_r,extinction_i,extinction_g,extinction_z,specObjID,loggadop,loggadopunc,fehadop,fehadopunc,elodiervfinal,elodiervfinalerr,SNR
1237652598487450164,312.040365869078,-7.06282230193348,40.2455162743266,-29.1240665399522,19.72769,17.83735,17.54596,18.43014,17.39027,0.03630029,0.01050399,0.0153921,0.01361946,0.02207984,0.3390116,0.1827416,0.1357966,0.2641555,0.1010077,714996504611284992,2.999336,0.2305162,-1.80169,0.001351227,-44.04031,6.148801,18.44011
1237652598489678316,317.206084638132,-7.65844096158123,42.3931745409101,-33.9463652907714,19.25071,18.11905,18.01145,18.40354,17.9512,0.03165233,0.01303382,0.01265444,0.01316294,0.0280097,0.2735479,0.1474539,0.109574,0.2131467,0.08150295,718382999351093248,3.135299,0.3065009,-2.248542,0.06090774,4.029038,8.014442,18.43575
1237652598490661106,319.306645689838,-8.07849828029335,43.1203552754788,-35.9837794051413,20.08657,18.09708,17.8351,18.7522,17.67559,0.0508648,0.0142045,0.01617602,0.02018304,0.0236889,0.6506067,0.3507045,0.2606111,0.5069484,0.1938467,719509450104268800,2.9117,0.3619163,-1.484273,0.0599,-133.1039,5.783411,15.39172
1237652598491447335,321.12562778062,-8.22338605852851,44.0135386011588,-37.6426770688388,18.76604,16.95435,16.69638,17.52809,16.54794,0.02388558,0.01511007,0.01252266,0.01730245,0.01562487,0.3077755,0.165904,0.1232845,0.2398166,0.09170098,720635625794988032,2.773134,0.09899755,-1.621005,0.03141657,-396.5885,3.174277,30.36547
1237652599560470798,310.513574929256,-5.99767244379505,40.5284267700772,-27.2874200178376,14.89468,12.5092,12.26066,13.17348,12.11757,0.01504274,0.002866118,0.002906004,0.002910819,0.01403431,0.2076253,0.1119188,0.08316768,0.1617802,0.06186147,715028115570583552,3.391366,0.06739639,-0.4196652,0.04773748,-6.304059,0.9632086,64.98208
1237652599561191537,312.131066821331,-6.1207753831893,41.2484805811653,-28.7701000402077,18.21409,16.85188,16.83934,16.96197,16.86701,0.02156756,0.01118074,0.01472634,0.00990865,0.01984672,0.2451983,0.1321723,0.09821816,0.1910569,0.07305627,714980011936868352,3.429697,0.3928017,-1.723325,0.02410129,-198.8662,3.564521,33.4991
1237652599561978280,314.031714126673,-6.37135180892626,42.005636617274,-30.5588687270327,15.19454,12.0532,11.72249,12.90387,11.53775,0.01369587,0.0002992951,0.0003341532,0.0004386744,0.0175946,0.2306891,0.1243512,0.09240626,0.1797514,0.06873327,716120206014965760,2.940892,0.230914,-0.1948711,0.01732972,2.061944,0.8741121,78.48123
1237652599562109309,314.311334984166,-6.40109319888546,42.1260055237351,-30.8184656030386,18.95526,17.60312,17.73951,17.7005,17.6704,0.02468592,0.009588541,0.01227694,0.01128676,0.02139353,0.1979624,0.1067101,0.07929702,0.1542509,0.05898242,716114158701012992,3.126358,0.506135,-0.9844656,0.1115528,-294.0013,5.084903,24.37199
1237652599562698959,315.603179281653,-6.71611605004629,42.5033361463973,-32.1001588710174,17.35085,16.04946,16.22005,14.09531,11.95388,0.01692922,0.02568511,0.03501667,0.0113428,0.01542628,0.3612669,0.1947381,0.1447113,0.2814967,0.1076386,717323346580105216,1.556129,0.4493347,-0.5729014,0.01170293,-240.2619,0.8627273,57.53598
1237652599563026542,316.329020387897,-6.72645632535274,42.8930914901281,-32.7416371939809,24.63459,24.80179,24.36206,25.11487,19.43886,0.9993132,0.6289443,0.6099722,0.7056939,8.512379,0.4005445,0.2159104,0.1604446,0.3121015,0.1193413,717345886568474624,2.74335,0.5533269,-0.7601535,0.1356,-4.558005,10.96594,11.6586
1237652599564796186,320.412801195013,-7.25878206746141,44.6585200197569,-36.5634353704701,20.16618,18.18284,17.89871,18.89289,17.68872,0.05481668,0.01995418,0.01325893,0.01851196,0.02507024,1.027161,0.5536834,0.4114461,0.8003572,0.3060403,720661189440333824,3.342619,0.6445721,-1.945414,0.1015,-102.6485,8.328527,14.75524
1237652600096883173,309.536667915767,-5.49164705852554,40.527461198028,-26.1915907185053,15.20458,16.62911,16.90019,15.53084,12.81785,0.0190175,0.6438702,0.5056849,0.362451,0.01818339,0.2616589,0.1410452,0.1048117,0.2038828,0.07796065,713952243761571840,2.64604,0.1099837,-1.40068,0.06880855,-288.4589,1.263817,55.85205
1237652600101339428,319.700893466583,-6.74885542013658,44.7935396094964,-35.6989073035469,19.67244,17.94277,17.69056,18.52089,17.55442,0.03729244,0.01478319,0.01347013,0.0193404,0.02031152,0.589255,0.3176334,0.2360356,0.4591435,0.1755672,719579818848446464,2.213384,0.115936,-1.958363,0.07337943,-136.119,8.059583,17.89722
1237652600633557097,309.114421225631,-4.85658774917536,40.9350311058462,-25.5240364670539,14.81094,12.38908,12.14823,13.08626,12.02207,0.01312025,0.0003573746,0.0004562767,0.0005028236,0.008571396,0.2857008,0.1540048,0.1144421,0.2226161,0.08512387,713913760854599680,3.485328,0.08851343,-0.1501697,0.02628944,-75.14088,0.6991335,55.33086
1237652600635065168,312.623068053055,-5.43389568887605,42.202762904434,-28.8817350437451,22.36136,18.30362,18.07386,19.62092,17.4958,0.2865749,0.01486373,0.01643347,0.0339728,0.01836971,0.2344715,0.12639,0.09392134,0.1826986,0.06986023,715101233093830656,3.256155,0.07200094,-0.2321451,0.06884515,15.29315,2.565423,15.97831
1237652600636637826,316.163997615196,-5.80139663959387,43.7663759999185,-32.1588888210107,19.72643,18.64653,17.75574,18.4421,17.6606,0.03591578,0.013568,0.01060489,0.01422419,0.02121876,0.3342261,0.180162,0.1338797,0.2604267,0.09958189,717349185103357952,3.496492,0.08144569,-0.9061866,0.02455358,-131.1423,3.848598,20.09424
1237652600637817251,318.867846496598,-6.25855849878195,44.8320120266095,-34.7374165067419,20.12443,19.98199,17.78046,18.59085,17.66124,0.06232683,0.03265124,0.01116623,0.01194693,0.02028184,0.9212261,0.4965798,0.369012,0.7178131,0.2744772,719542710331009024,2.575341,0.2056557,-1.886516,0.02842921,27.59765,3.991285,26.53403
1237652600638275918,319.923676079615,-6.2698526652736,45.4415045564304,-35.6613191126317,19.4119,17.67939,17.49413,18.22275,17.35694,0.03133206,0.01383756,0.01242692,0.01382551,0.0202663,0.478909,0.2581522,0.1918347,0.3731626,0.1426898,719608131272861696,3.168078,0.1775338,-1.277506,0.06368183,-102.4894,4.48528,20.64702
1237652601170690280,309.798472225394,-4.65800381564789,41.4841805521592,-26.0335636553424,16.75833,15.36111,15.33589,15.47467,15.30262,0.01294412,0.00807039,0.009530583,0.01078103,0.0169938,0.2610571,0.1407208,0.1045706,0.2034139,0.07778134,713946196447619072,2.612205,0.419175,-1.292446,0.09278779,-177.0477,2.01804,47.34644
1237652601172066330,312.892253388175,-4.93087120640066,42.8537275061116,-28.8800907106705,17.95249,16.61936,16.46333,16.96377,16.4018,0.01915403,0.009946024,0.01010497,0.007953188,0.01506998,0.4172049,0.2248911,0.1671182,0.3250833,0.1243052,715117450890340352,3.37298,0.1014724,-2.166391,0.04438451,-180.7739,3.050571,37.97797
1237652601172525324,314.010407114583,-5.13953258194158,43.2515142880359,-29.959038366729,18.06578,16.68179,16.51963,17.05542,16.43853,0.02170498,0.01079978,0.009292362,0.01051483,0.01475015,0.3339061,0.1799895,0.1337515,0.2601774,0.09948654,716218887183558656,3.311053,0.1332506,-2.409598,0.06518924,-33.12637,3.308952,39.68829
1237652933493784910,311.636717965534,-7.13167924523609,39.9665997954398,-28.7990551321837,18.98104,17.63694,17.64211,17.75612,17.64782,0.02625151,0.009819459,0.01196527,0.01833678,0.0218411,0.3235194,0.1743906,0.1295909,0.2520841,0.09639185,715012447529887744,3.087805,0.3617351,-1.397356,0.04230576,-148.9081,4.456666,23.55917
1237652933494047161,312.152921584793,-7.23587610973684,40.1274942855491,-29.3024174644584,20.1734,17.92984,17.85579,18.65196,17.43647,0.04419269,0.009660915,0.01696314,0.01681828,0.02078888,0.3459322,0.1864721,0.1385687,0.269548,0.1030697,714977812913612800,2.633732,0.3457293,-1.338202,0.04850668,-112.323,6.052247,15.61
1237652933495292127,315.076972903253,-7.56615569661577,41.3289135571726,-32.0318442775322,18.33587,16.31837,16.04114,16.92711,15.9078,0.01987538,0.009382968,0.0146159,0.01716348,0.01671047,0.2989298,0.1611358,0.1197411,0.232924,0.08906541,717271669533599744,3.067639,0.05237628,-1.236322,0.02757995,-16.09827,1.759631,41.98493
1237652933495554421,315.623495507507,-7.6234367093347,41.5634552302177,-32.5392261892456,19.14059,17.18801,16.9042,17.79887,16.7157,0.0245367,0.009899751,0.01338847,0.01663913,0.01545499,0.3414019,0.1840301,0.1367541,0.2660181,0.1017199,717261499051042816,2.622354,0.0890497,-2.128767,0.05915885,-194.5577,4.177584,28.61341
1237652934029672956,309.443407927717,-6.36946316570394,39.6100757169621,-26.5131549086036,16.46252,15.16271,15.14619,15.24637,15.15007,0.01378353,0.007031451,0.01065475,0.01500626,0.02075242,0.2272369,0.1224903,0.09102342,0.1770615,0.0677047,713882974529021952,3.228416,0.2322571,-1.248959,0.09232575,39.62995,2.045962,49.95479
1237652934030066512,310.322909338115,-6.47974576016848,39.948529697151,-27.3407685160748,19.11692,18.47153,17.81633,19.06484,17.43087,0.02563711,0.01049131,0.01517522,0.01606905,0.02447052,0.2102408,0.1133287,0.08421535,0.1638182,0.06264075,713833496505772032,2.926468,0.4645309,-1.900567,0.2119,-41.31393,7.240391,12.40939
1237652934030328241,310.927567708297,-6.6506181811317,40.087530674478,-27.953034184407,18.06752,16.04746,15.78171,16.65608,15.9702,0.01753222,0.01073141,0.009704525,0.01461947,0.01777328,0.1672896,0.09017616,0.06701055,0.1303509,0.04984353,715032238739187712,1.789466,0.0512927,-2.048133,0.1055974,-275.1911,2.039874,45.14243
1237652934032097475,314.950044047444,-7.13974124860908,41.7061135302235,-31.7234956126104,18.80869,17.45532,17.4542,17.58382,17.43233,0.02631697,0.03226842,0.04428341,0.02207721,0.05538543,0.3055859,0.1647237,0.1224074,0.2381104,0.09104859,717279091237087232,3.013763,0.1732212,-1.221139,0.03091967,-63.67893,4.152686,25.84178
