objID,ra,psfMag_u,psfMag_r,psfMag_i,psfMag_g,psfMagErr_u,psfMagErr_r,psfMagErr_i,psfMagErr_g,extinction_u,extinction_r,extinction_i,extinction_g,extinction_z
1237678595929866322,330.007281191188,1.19752672377976,15.67552,15.54733,15.94688,15.50849,0.0239878,0.01346744,0.01867834,0.02480781,0.1245862,0.09258089,0.1800911,0.06886318
1237652598492561682,323.690057458431,-8.4810942937938,18.24171,17.93437,18.99082,17.76919,0.01487373,0.01362427,0.0182382,0.02414679,0.07468891,0.05550187,0.1079639,0.04128319
1237652598492561695,323.701128882443,-8.46066073973878,16.8878,16.11535,18.2946,15.70666,0.01384283,0.0123325,0.01692193,0.01690177,0.07465692,0.05547809,0.1079176,0.04126551
1237652942093877321,341.960324116703,12.8832481916215,22.51136,22.24098,24.48442,23.16851,0.1683801,0.2028913,0.6146483,0.7359256,0.120662,0.08966483,0.1744187,0.06669416
1237652943705538837,344.292504665828,14.481344053876,20.3077,20.14627,20.92175,19.81645,0.02679674,0.06024588,0.03366468,0.0974203,0.1005982,0.07475524,0.1454161,0.05560417
1237656240627450037,341.834714914887,12.7922853984861,22.32217,22.52323,23.78319,20.83234,0.1305522,0.4619951,0.9141098,0.1766787,0.09787863,0.07273432,0.141485,0.05410097
1237656495106490497,343.148409979462,13.7198996444436,21.62572,20.7608,23.00225,20.37379,0.08070658,0.06497594,0.1731076,0.155707,0.09861023,0.07327797,0.1425425,0.05450535
1237656495643688995,343.798793074731,14.1578834121212,16.24438,16.11621,16.57787,16.04011,0.01423933,0.01622037,0.01337258,0.02123375,0.1409521,0.1047425,0.2037483,0.0779092
1237656495643688997,343.79948294849,14.1588122051602,22.78478,22.88049,24.30108,23.21892,0.3375649,0.3445391,0.3722401,0.7133548,0.140984,0.1047662,0.2037943,0.07792681
1237678536332542068,320.744539136976,-14.4057840577685,24.34623,24.29916,22.97079,22.08835,0.8636524,0.9051055,0.2412598,0.8453279,0.1828801,0.1358996,0.2643558,0.1010843
1237678536332542009,320.749071694272,-14.395138323896,16.30138,16.04626,16.84114,15.91298,0.01976852,0.01592154,0.01657124,0.0210623,0.1826023,0.1356931,0.2639542,0.1009307
1237678536332477230,320.713935904942,-14.4740967668876,20.88266,19.9563,22.1713,19.26106,0.05368137,0.03930195,0.1140176,0.0742337,0.1805719,0.1341842,0.2610192,0.09980842
1237678536332476841,320.708498604593,-14.4858252847918,19.97082,18.94725,21.344,18.28515,0.02722182,0.02495139,0.05718089,0.03911041,0.1792563,0.1332067,0.2591175,0.09908127
1237678536332476516,320.717567175697,-14.4647937625418,21.64855,20.53007,23.55173,20.21068,0.1157427,0.06479059,0.4065084,0.1935902,0.1814933,0.1348689,0.2623511,0.1003177
1237678536332411912,320.629361989623,-14.6631953217631,23.80431,21.6031,24.651,20.98344,0.4012594,0.1479432,0.7493365,0.3432387,0.1519155,0.1128895,0.219596,0.08396906
1237678536332411874,320.600970793954,-14.7265252808984,24.21033,21.87396,24.84381,22.87487,0.7952595,0.2937157,0.7875417,0.9486874,0.1538108,0.1142979,0.2223357,0.08501666
1237678536332411421,320.607526861028,-14.7121464110752,21.91821,21.67299,22.14989,23.06632,0.1320385,0.1587975,0.1111761,0.9284866,0.1524945,0.1133198,0.220433,0.08428911
1237678535795934223,321.062243903639,-13.7062058717502,21.46156,20.11202,23.56546,19.33132,0.09023235,0.04379473,0.3768379,0.07666748,0.1765167,0.1311708,0.2551574,0.09756699
1237678535795933948,321.053742405989,-13.7244673869868,20.99102,19.51778,22.43649,18.71976,0.06101428,0.02969534,0.1437641,0.05254077,0.1840114,0.1367402,0.2659911,0.1017096
1237672766054334560,351.09670491635,18.2005643824034,19.88287,19.42803,21.10569,19.32833,0.02879678,0.02580731,0.0537776,0.06853999,0.1150521,0.08549602,0.1663094,0.06359333
