objID,l,b,ra,dec,psfMag_u,psfMag_r,psfMag_i,psfMag_g,psfMag_z,psfMagErr_u,psfMagErr_r,psfMagErr_i,psfMagErr_g,psfMagErr_z,extinction_u,extinction_r,extinction_i,extinction_g,extinction_z
1237680269351322087,77.1014426786734,-29.9999891054123,332.079301380156,18.0022724861256,22.77428,18.603,17.41813,20.05864,16.75955,0.5958598,0.0149997,0.01422327,0.02261196,0.02023483,0.2273114,0.1225304,0.09105325,0.1771195,0.0677269
1237680091645215637,70.0404787786595,-29.9999856574785,327.550734713232,13.71090403627,23.45274,22.04613,21.94389,22.81342,21.47037,0.5497879,0.1549985,0.1219312,0.1225982,0.3211909,0.6112105,0.3294683,0.2448303,0.4762511,0.1821087
1237680267202725172,73.5354020820935,-29.9999843151457,329.733693197797,15.8802993178531,22.98289,22.78296,21.8969,24.55291,21.87401,0.6097081,0.2687365,0.179694,0.5605423,0.562817,0.2558367,0.1379068,0.1024795,0.1993462,0.07622594
1237680272036594797,79.7201649341308,-29.9999832741154,333.880734054588,19.496733896205,25.55798,23.09279,22.09869,22.94729,21.4676,1.193754,0.3698623,0.2211566,0.2036546,0.5083188,0.250372,0.1349611,0.1002906,0.1950882,0.07459775
1237666434189623627,86.363118910074,-29.9999813310755,338.761985364474,23.0186427627387,21.16996,19.68437,19.52069,20.06231,19.50281,0.07630306,0.01690202,0.02010646,0.0200074,0.06385,0.1880891,0.101388,0.07534213,0.1465577,0.0560407
1237680268276925439,74.997203643002,-29.9999803959341,330.680470622672,16.761801791086,24.45081,20.92751,20.65822,21.32807,20.92588,1.433487,0.04674637,0.06337038,0.04365203,0.3155121,0.2374042,0.1279709,0.09509609,0.1849837,0.07073402
1237680269351388002,77.156885846689,-29.9999792022781,332.116732600975,18.0344969269221,26.22408,20.73307,19.50336,22.29595,18.87824,0.5217565,0.04098786,0.02817921,0.08423166,0.04486568,0.2319327,0.1250215,0.09290441,0.1807204,0.06910381
1237680272573792444,80.5273750417483,-29.9999791500309,334.449812375924,19.9458628049622,24.6378,21.36017,20.35321,22.59448,19.45305,1.717702,0.08869889,0.05205335,0.1333837,0.09914328,0.1975265,0.1064751,0.07912244,0.1539113,0.05885256
1237672816510763408,94.1068309987093,-29.9999763778298,345.030201921675,26.5680089126294,22.26408,18.44575,18.00797,19.56064,17.84629,0.2805703,0.01284597,0.01212835,0.0155811,0.02507992,0.1516199,0.08172954,0.06073381,0.1181412,0.0451748
1237680272036462762,79.3335551325958,-29.9999755966985,333.610487711243,19.2796729899811,23.63466,22.08598,20.74873,22.96689,20.36932,1.093626,0.1651622,0.07037104,0.2155796,0.2142644,0.2391707,0.1289231,0.09580369,0.1863602,0.07126034
